epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,396.507,1.92218,1.4159,1.40813,0.74754,0.49507,0.45505,0.18691,2.38759,2.00417,1.20341,0.000679168,0.000679168,0.000679168
39,406.065,1.72615,1.46584,1.14859,0.96567,0.33333,0.44667,0.16584,2.67517,1.92004,1.26673,0.000686386,0.000686386,0.000686386
40,416.605,1.78496,1.42114,1.17551,0.96567,0.33333,0.44667,0.16584,2.67517,1.92004,1.26673,0.000693038,0.000693038,0.000693038
41,428.516,1.91364,1.57771,1.38291,0.96567,0.33333,0.44667,0.16584,2.67517,1.92004,1.26673,0.000699124,0.000699124,0.000699124
42,439.73,1.65373,1.70797,1.17784,0.96651,0.33333,0.42828,0.1362,2.80685,2.03407,1.30258,0.000704644,0.000704644,0.000704644
43,456.129,2.16004,1.42391,1.25655,0.96651,0.33333,0.42828,0.1362,2.80685,2.03407,1.30258,0.000709599,0.000709599,0.000709599
44,478.676,1.57507,1.33948,1.16091,0.96651,0.33333,0.42828,0.1362,2.80685,2.03407,1.30258,0.000713987,0.000713987,0.000713987
45,507.049,1.90231,1.39772,1.3201,0.96651,0.33333,0.42828,0.1362,2.80685,2.03407,1.30258,0.00071781,0.00071781,0.00071781
46,534.908,1.84963,1.62083,1.17786,0.9833,0.5,0.58054,0.18916,2.69894,1.62984,1.32095,0.000721066,0.000721066,0.000721066
47,567.704,1.72667,1.32589,1.17305,0.9833,0.5,0.58054,0.18916,2.69894,1.62984,1.32095,0.000723757,0.000723757,0.000723757
48,602.198,1.78436,1.34243,1.1749,0.9833,0.5,0.58054,0.18916,2.69894,1.62984,1.32095,0.000725882,0.000725882,0.000725882
1,12.0639,3.09067,7.11589,1.99685,0,0,0,0,2.96171,8.51875,1.57188,1.429e-05,1.429e-05,1.429e-05
2,23.0564,3.02202,8.28957,1.87432,0,0,0,0,2.94214,7.88704,1.55037,4.24456e-05,4.24456e-05,4.24456e-05
3,35.1377,2.76595,5.66045,1.66226,0,0,0,0,2.99424,7.47171,1.54475,7.00353e-05,7.00353e-05,7.00353e-05
4,47.0917,2.42861,6.24669,1.52694,0.04,0.16667,0.04973,0.01989,2.96877,7.80715,1.5001,9.70591e-05,9.70591e-05,9.70591e-05
5,56.2674,2.76459,5.21126,1.59682,0.28564,0.16667,0.06849,0.03425,2.9182,7.68724,1.4539,0.000123517,0.000123517,0.000123517
6,65.0914,2.54316,3.68131,1.44568,0.44604,0.16667,0.10431,0.04707,2.79508,7.36003,1.38635,0.000149409,0.000149409,0.000149409
7,73.8332,2.76943,3.9093,1.84767,0.46353,0.16667,0.09841,0.04825,2.61294,6.30159,1.2982,0.000174735,0.000174735,0.000174735
8,82.8223,2.27664,3.13563,1.40562,0.45696,0.16667,0.16526,0.07142,2.46468,5.15404,1.25414,0.000199496,0.000199496,0.000199496
9,95.1007,2.20532,2.86738,1.31309,0.4956,0.32893,0.25121,0.10053,2.3949,4.37934,1.25569,0.00022369,0.00022369,0.00022369
10,105.964,2.40543,3.05802,1.60412,0.34001,0.5167,0.3155,0.11053,2.51772,3.78842,1.30293,0.000247318,0.000247318,0.000247318
11,116.401,2.40228,3.26764,1.49907,0.35064,0.66667,0.41679,0.18332,2.48086,3.01474,1.2919,0.000270381,0.000270381,0.000270381
12,126.982,2.45207,2.8901,1.40148,0.35064,0.66667,0.41679,0.18332,2.48086,3.01474,1.2919,0.000292878,0.000292878,0.000292878
13,138.385,1.88903,2.53878,1.30544,0.37739,0.66667,0.41723,0.19341,2.48631,2.98572,1.28267,0.000314809,0.000314809,0.000314809
14,148.198,1.93504,2.41255,1.30919,0.35941,0.33333,0.3766,0.13892,2.42488,3.87682,1.27955,0.000336174,0.000336174,0.000336174
15,158.823,1.74823,2.17671,1.27629,0.35941,0.33333,0.3766,0.13892,2.42488,3.87682,1.27955,0.000356973,0.000356973,0.000356973
16,168.942,2.03604,2.4478,1.25668,0.23392,0.5,0.30257,0.14623,2.63138,3.22939,1.37038,0.000377206,0.000377206,0.000377206
17,180.303,2.04497,1.94887,1.25326,0.26008,0.66667,0.3001,0.13955,2.46673,2.78574,1.31409,0.000396873,0.000396873,0.000396873
18,190.935,1.95299,2.05512,1.20642,0.26008,0.66667,0.3001,0.13955,2.46673,2.78574,1.31409,0.000415975,0.000415975,0.000415975
19,201.602,2.08441,2.4121,1.18227,0.73821,0.16667,0.2832,0.12873,2.10278,2.99046,1.23658,0.00043451,0.00043451,0.00043451
20,210.686,1.98831,1.7856,1.27731,0.73821,0.16667,0.2832,0.12873,2.10278,2.99046,1.23658,0.00045248,0.00045248,0.00045248
21,221.563,1.87741,1.87904,1.2324,0.24126,0.66667,0.35224,0.16109,2.19048,2.91104,1.25022,0.000469884,0.000469884,0.000469884
